GENESIS-Tabelle: 12211-1003
Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen,;;;;;;;;
Nichterwerbspersonen aus Hauptwohnsitzhaush.: Bundesländer,;;;;;;;;
Jahre, Geschlecht, Größenkl. persönl. monatl. Nettoeinkommen;;;;;;;;
Mikrozensus;;;;;;;;
;;;;Bevölkerung in Hauptwohnsitzhaushalten;Erwerbstätige aus Hauptwohnsitzhaushalten;Erwerbslose aus Hauptwohnsitzhaushalten;Erwerbspersonen aus Hauptwohnsitzhaushalten;Nichterwerbspersonen aus Hauptwohnsitzhaushalten
;;;;1000;1000;1000;1000;1000
2022;Baden-Württemberg;männlich;Kein Einkommen;871;9;14;23;848
2022;Baden-Württemberg;männlich;unter 500 EUR;396;91;18;109;288
2022;Baden-Württemberg;männlich;500 bis unter 1000 EUR;428;192;27;219;209
2022;Baden-Württemberg;männlich;1000 bis unter 1250 EUR;251;112;8;120;131
2022;Baden-Württemberg;männlich;1250 bis unter 1500 EUR;267;128;/;133;133
2022;Baden-Württemberg;männlich;1500 bis unter 1750 EUR;308;176;/;182;126
2022;Baden-Württemberg;männlich;1750 bis unter 2000 EUR;390;270;/;273;116
2022;Baden-Württemberg;männlich;2000 bis unter 2500 EUR;866;688;7;695;172
2022;Baden-Württemberg;männlich;2500 bis unter 3000 EUR;554;458;/;462;92
2022;Baden-Württemberg;männlich;3000 bis unter 3500 EUR;400;341;/;342;58
2022;Baden-Württemberg;männlich;3500 EUR und mehr;832;745;/;747;85
2022;Baden-Württemberg;männlich;Ohne Angabe;/;/;/;/;/
2022;Baden-Württemberg;männlich;Insgesamt;5563;3210;95;3305;2258
2022;Baden-Württemberg;weiblich;Kein Einkommen;1009;15;17;32;977
2022;Baden-Württemberg;weiblich;unter 500 EUR;749;256;15;271;478
2022;Baden-Württemberg;weiblich;500 bis unter 1000 EUR;938;443;18;461;477
2022;Baden-Württemberg;weiblich;1000 bis unter 1250 EUR;538;305;/;310;229
2022;Baden-Württemberg;weiblich;1250 bis unter 1500 EUR;447;278;/;281;166
2022;Baden-Württemberg;weiblich;1500 bis unter 1750 EUR;380;251;/;253;126
2022;Baden-Württemberg;weiblich;1750 bis unter 2000 EUR;362;263;/;265;96
2022;Baden-Württemberg;weiblich;2000 bis unter 2500 EUR;580;463;/;466;114
2022;Baden-Württemberg;weiblich;2500 bis unter 3000 EUR;260;207;/;209;52
2022;Baden-Württemberg;weiblich;3000 bis unter 3500 EUR;159;133;/;133;26
2022;Baden-Württemberg;weiblich;3500 EUR und mehr;205;174;/;174;31
2022;Baden-Württemberg;weiblich;Ohne Angabe;/;/;/;/;/
2022;Baden-Württemberg;weiblich;Insgesamt;5626;2787;67;2854;2772
2022;Baden-Württemberg;Insgesamt;Kein Einkommen;1879;24;31;54;1825
2022;Baden-Württemberg;Insgesamt;unter 500 EUR;1145;347;32;379;766
2022;Baden-Württemberg;Insgesamt;500 bis unter 1000 EUR;1366;635;45;680;686
2022;Baden-Württemberg;Insgesamt;1000 bis unter 1250 EUR;790;417;13;430;359
2022;Baden-Württemberg;Insgesamt;1250 bis unter 1500 EUR;714;405;9;414;300
2022;Baden-Württemberg;Insgesamt;1500 bis unter 1750 EUR;688;427;9;436;252
2022;Baden-Württemberg;Insgesamt;1750 bis unter 2000 EUR;751;533;/;539;213
2022;Baden-Württemberg;Insgesamt;2000 bis unter 2500 EUR;1447;1151;9;1161;286
2022;Baden-Württemberg;Insgesamt;2500 bis unter 3000 EUR;814;666;/;670;143
2022;Baden-Württemberg;Insgesamt;3000 bis unter 3500 EUR;559;474;/;475;84
2022;Baden-Württemberg;Insgesamt;3500 EUR und mehr;1037;919;/;921;116
2022;Baden-Württemberg;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Baden-Württemberg;Insgesamt;Insgesamt;11190;5997;162;6159;5030
2022;Bayern;männlich;Kein Einkommen;964;11;12;23;941
2022;Bayern;männlich;unter 500 EUR;449;83;14;96;353
2022;Bayern;männlich;500 bis unter 1000 EUR;454;213;21;235;219
2022;Bayern;männlich;1000 bis unter 1250 EUR;313;129;/;135;177
2022;Bayern;männlich;1250 bis unter 1500 EUR;310;139;/;146;165
2022;Bayern;männlich;1500 bis unter 1750 EUR;423;238;/;243;180
2022;Bayern;männlich;1750 bis unter 2000 EUR;468;338;/;342;126
2022;Bayern;männlich;2000 bis unter 2500 EUR;1058;847;9;856;202
2022;Bayern;männlich;2500 bis unter 3000 EUR;663;554;/;557;106
2022;Bayern;männlich;3000 bis unter 3500 EUR;470;394;/;395;75
2022;Bayern;männlich;3500 EUR und mehr;988;873;/;876;113
2022;Bayern;männlich;Ohne Angabe;/;/;/;/;/
2022;Bayern;männlich;Insgesamt;6560;3819;86;3905;2655
2022;Bayern;weiblich;Kein Einkommen;1132;20;15;36;1097
2022;Bayern;weiblich;unter 500 EUR;868;271;17;288;580
2022;Bayern;weiblich;500 bis unter 1000 EUR;1063;492;22;514;549
2022;Bayern;weiblich;1000 bis unter 1250 EUR;681;379;9;387;293
2022;Bayern;weiblich;1250 bis unter 1500 EUR;498;313;/;318;180
2022;Bayern;weiblich;1500 bis unter 1750 EUR;507;339;/;343;164
2022;Bayern;weiblich;1750 bis unter 2000 EUR;424;318;/;320;104
2022;Bayern;weiblich;2000 bis unter 2500 EUR;681;543;/;546;134
2022;Bayern;weiblich;2500 bis unter 3000 EUR;338;275;/;277;61
2022;Bayern;weiblich;3000 bis unter 3500 EUR;186;153;/;153;33
2022;Bayern;weiblich;3500 EUR und mehr;278;230;/;231;47
2022;Bayern;weiblich;Ohne Angabe;/;/;/;/;/
2022;Bayern;weiblich;Insgesamt;6656;3332;80;3413;3244
2022;Bayern;Insgesamt;Kein Einkommen;2096;31;28;59;2037
2022;Bayern;Insgesamt;unter 500 EUR;1317;354;30;384;933
2022;Bayern;Insgesamt;500 bis unter 1000 EUR;1517;705;43;749;768
2022;Bayern;Insgesamt;1000 bis unter 1250 EUR;993;507;15;523;471
2022;Bayern;Insgesamt;1250 bis unter 1500 EUR;808;452;11;463;345
2022;Bayern;Insgesamt;1500 bis unter 1750 EUR;930;577;9;586;344
2022;Bayern;Insgesamt;1750 bis unter 2000 EUR;892;656;7;663;230
2022;Bayern;Insgesamt;2000 bis unter 2500 EUR;1738;1389;13;1402;336
2022;Bayern;Insgesamt;2500 bis unter 3000 EUR;1001;829;/;834;167
2022;Bayern;Insgesamt;3000 bis unter 3500 EUR;656;547;/;548;108
2022;Bayern;Insgesamt;3500 EUR und mehr;1266;1103;/;1107;160
2022;Bayern;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Bayern;Insgesamt;Insgesamt;13216;7151;166;7317;5899
2022;Berlin;männlich;Kein Einkommen;268;/;/;/;260
2022;Berlin;männlich;unter 500 EUR;145;24;/;32;113
2022;Berlin;männlich;500 bis unter 1000 EUR;178;57;21;78;99
2022;Berlin;männlich;1000 bis unter 1250 EUR;118;56;/;61;57
2022;Berlin;männlich;1250 bis unter 1500 EUR;121;66;/;70;51
2022;Berlin;männlich;1500 bis unter 1750 EUR;134;87;/;90;44
2022;Berlin;männlich;1750 bis unter 2000 EUR;123;90;/;93;31
2022;Berlin;männlich;2000 bis unter 2500 EUR;234;187;/;189;45
2022;Berlin;männlich;2500 bis unter 3000 EUR;151;125;/;126;25
2022;Berlin;männlich;3000 bis unter 3500 EUR;96;86;/;86;11
2022;Berlin;männlich;3500 EUR und mehr;237;215;/;216;21
2022;Berlin;männlich;Ohne Angabe;/;/;/;/;/
2022;Berlin;männlich;Insgesamt;1805;996;52;1048;758
2022;Berlin;weiblich;Kein Einkommen;296;/;/;/;289
2022;Berlin;weiblich;unter 500 EUR;170;34;/;40;130
2022;Berlin;weiblich;500 bis unter 1000 EUR;241;76;19;96;146
2022;Berlin;weiblich;1000 bis unter 1250 EUR;172;80;/;85;87
2022;Berlin;weiblich;1250 bis unter 1500 EUR;154;81;/;84;70
2022;Berlin;weiblich;1500 bis unter 1750 EUR;146;88;/;89;57
2022;Berlin;weiblich;1750 bis unter 2000 EUR;144;93;/;94;50
2022;Berlin;weiblich;2000 bis unter 2500 EUR;241;182;/;185;56
2022;Berlin;weiblich;2500 bis unter 3000 EUR;125;104;/;105;21
2022;Berlin;weiblich;3000 bis unter 3500 EUR;78;67;/;67;11
2022;Berlin;weiblich;3500 EUR und mehr;108;98;/;98;10
2022;Berlin;weiblich;Ohne Angabe;/;/;/;/;/
2022;Berlin;weiblich;Insgesamt;1876;906;45;951;926
2022;Berlin;Insgesamt;Kein Einkommen;564;/;/;16;549
2022;Berlin;Insgesamt;unter 500 EUR;315;58;14;72;243
2022;Berlin;Insgesamt;500 bis unter 1000 EUR;419;134;40;174;245
2022;Berlin;Insgesamt;1000 bis unter 1250 EUR;290;136;10;146;144
2022;Berlin;Insgesamt;1250 bis unter 1500 EUR;275;147;/;154;121
2022;Berlin;Insgesamt;1500 bis unter 1750 EUR;280;174;/;179;101
