GENESIS-Tabelle: 13211-0007
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen:;;;;;
Bundesländer, Jahre;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;
;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen
;;Anzahl;Prozent;Prozent;Anzahl
Baden-Württemberg;2021;247774;3,9;4,3;88314
Baden-Württemberg;2022;223119;3,5;3,9;111188
Bayern;2021;262186;3,5;3,8;119158
Bayern;2022;235851;3,1;3,4;154634
Berlin;2021;198401;9,8;11,3;18839
Berlin;2022;179327;8,8;10,1;21308
Brandenburg;2021;78463;5,9;6,5;23436
Brandenburg;2022;74242;5,6;6,1;27974
Bremen;2021;39292;10,7;11,7;6510
Bremen;2022;37214;10,2;11,0;8858
Hamburg;2021;80395;7,5;8,3;11056
Hamburg;2022;73800;6,8;7,6;12789
Hessen;2021;178086;5,2;5,7;45798
Hessen;2022;164492;4,8;5,2;53282
Mecklenburg-Vorpommern;2021;62410;7,6;8,3;17324
Mecklenburg-Vorpommern;2022;59571;7,3;7,9;19888
Niedersachsen;2021;243021;5,5;6,0;77484
Niedersachsen;2022;230553;5,3;5,7;87635
Nordrhein-Westfalen;2021;718220;7,3;8,0;143458
Nordrhein-Westfalen;2022;668502;6,8;7,4;169110
Rheinland-Pfalz;2021;112137;5,0;5,4;37337
Rheinland-Pfalz;2022;102515;4,6;5,0;45781
Saarland;2021;36156;6,8;7,4;9272
Saarland;2022;33017;6,3;6,8;12104
Sachsen;2021;124743;5,9;6,5;40143
Sachsen;2022;118216;5,6;6,1;44523
Sachsen-Anhalt;2021;81093;7,3;7,8;21004
Sachsen-Anhalt;2022;77978;7,1;7,6;22617
Schleswig-Holstein;2021;88865;5,6;6,2;24775
Schleswig-Holstein;2022;81564;5,2;5,7;30287
Thüringen;2021;62249;5,6;6,1;20242
Thüringen;2022;58172;5,3;5,8;21308
__________
"Quelle: Bundesagentur für Arbeit, Nürnberg

Ab Januar 2005 sind die Daten über registrierte Arbeitslose
der Bundesagentur für Arbeit auf Grund der Zusammenlegung
von Arbeitslosen- und Sozialhilfe mit früheren Daten nicht
mehr vergleichbar. Beachten Sie bitte hierzu die
Informationen zur Arbeitsmarktstatistik der Bundesagentur
für Arbeit (Code: 13211).

Gemeldete Arbeitsstellen:
Ab Berichtsmonat Juli 2010 werden nur noch ungeförderte
Arbeitsstellen ausgewiesen. Die neue Abgrenzung steht ab
Januar 2000 zur Verfügung."
© Statistisches Bundesamt (Destatis), 2023
Stand: 29.06.2023 / 18:49:19
