Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;ERW041__Erwerbstaetige_aus_Hauptwohnsitzhaushalten__1000
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00000;Kein Einkommen;GES;Geschlecht;GESM;männlich;BERST5;Stellung im Beruf;STBERUF011;Selbstständige ohne Beschäftigte;10
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00000;Kein Einkommen;GES;Geschlecht;GESM;männlich;BERST5;Stellung im Beruf;STBERUF012;Selbstständige mit Beschäftigten;8
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00000;Kein Einkommen;GES;Geschlecht;GESM;männlich;BERST5;Stellung im Beruf;STBERUF02;Mithelfende Familienangehörige;8
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00000;Kein Einkommen;GES;Geschlecht;GESM;männlich;BERST5;Stellung im Beruf;STBERUF03;Beamte;/
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00000;Kein Einkommen;GES;Geschlecht;GESM;männlich;BERST5;Stellung im Beruf;STBERUF04;Angestellte;28
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00000;Kein Einkommen;GES;Geschlecht;GESM;männlich;BERST5;Stellung im Beruf;STBERUF05;Arbeiter;/
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00000;Kein Einkommen;GES;Geschlecht;GESM;männlich;BERST5;Stellung im Beruf;STBERUF07;Auszubildende;7
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00000;Kein Einkommen;GES;Geschlecht;GESM;männlich;BERST5;Stellung im Beruf;;Insgesamt;66
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00000;Kein Einkommen;GES;Geschlecht;GESW;weiblich;BERST5;Stellung im Beruf;STBERUF011;Selbstständige ohne Beschäftigte;10
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00000;Kein Einkommen;GES;Geschlecht;GESW;weiblich;BERST5;Stellung im Beruf;STBERUF012;Selbstständige mit Beschäftigten;/
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00000;Kein Einkommen;GES;Geschlecht;GESW;weiblich;BERST5;Stellung im Beruf;STBERUF02;Mithelfende Familienangehörige;24
